Feature ID	Taxon	Consensus
096a68fac7063189fcb31b393a4ba5cf	Unassigned	1.0
097bd6959258020e60814e2590fa2d2d	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.875
09981083bada5ccb3652717ac3137ebb	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	0.8
09a322ed0c661526ca26f66009aa10a0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.7
09c44aa6dbd0a753f067ba2d914ba580	Unassigned	1.0
09cf713a7291db630d424400bdb14664	Unassigned	1.0
0a0cd8fa1b35a1dea4507a4930b21c74	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae	0.8
0a118e3aaa66edc9690aaf32248860fe	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae	0.9
0a208294d3224aeab27a990c70d3b08a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	0.7
0a30db8c95ddbe2ab25d0885da0f6532	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae	0.8
0a4f24cfd1d6fe379388d8113c6b936d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae	0.9
0a670a33fb64aaf82094efa5628a1744	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae	0.9
0a7b414fafee31eb600594948db01543	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
0abfb8bd668387093f74074e6d0e35ba	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.7
0acec0988e2581daccf72bb09e03a8ab	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae	0.8
0ad73a0ce5fd4ebc5bd102fb157300c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
0ae59402ab11185f15185697885c4bdb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Radulomycetaceae;g__Radulomyces	0.714
0b060f8a10ae505b7ca2845d55f23781	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales	0.6
0b06dc1557944a9c319ada244f5ad753	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	1.0
0b0afbbcbc14873eb9a4ae7b08f696ed	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.818
0b11aa688f90a9dc3c41f6d181571855	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella;s__Tremella_sp;sh__SH0146067.10FU	1.0
0b2aca51248768fdcbaf6b548acf7d3b	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.7
0b34f66c315b25fe4e47ad9f03e540d5	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.8
0b55c4552aa81280a0537a8fb26fc28e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.9
0b75267fb8bf2000d27cea6b59d5604f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Botryobasidiaceae;g__Botryobasidium	0.857
0b86d3c453e5b5a631611f913cfcdcd0	Unassigned	1.0
0b9facd5681e58be4126f085941afcce	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae	0.9
0bba099f03f671bbf8553da9b8fd40eb	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.6
0bd6d409e0b7f6b8d7c5c5239552d4cc	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	1.0
0be6f48442c6bd4ce13f3806da142328	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales	0.6
0bf963863590022e6ec06e5db79bfddd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia	0.7
0c061676d6b01174922f0877ea2f03c4	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.8
0c0c7833c775c035cfb4de0c8b4c8191	Unassigned	1.0
0c1fd1f45d0cf88b01c3e04ad7a3b3a0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.8
0c70a7bcaf005efa1ee59c32bbc4d01c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae	0.9
0c7fba880f12530f2211f65d3647dba2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	1.0
0c867db7e8913a9bce1f53b8c11653f5	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.7
0c8a97f5fe9db02f5c0e61e9d84f9c99	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.9
0ca8aeb469512f049b3f93075a909cd9	Unassigned	1.0
0cc502603129b8dda83b81633056f783	Unassigned	1.0
0cd57ab7a821d085ca8d14b198260fd8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
0d1d90d126d01441e2f1887783c5fa8c	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	1.0
0d55bb009781edbce952d4dec47ac43a	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Stictidaceae	0.7
0d5af6d6720df752b2bf87a0e6dbd0a0	Unassigned	1.0
0d65cb962bcaf40558141eca5ee25137	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.0
0d6ce73889485a92d544e1bdd9150715	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.8
0d7496b8437749e30f0352301641f045	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales	0.8
0d94cd4e78e50436d56e14b9b8c62fb9	Unassigned	1.0
0da9afcff1ba80eec6fdc0b9fbebd336	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Kirschsteiniotheliales;f__Kirschsteiniotheliaceae;g__Kirschsteiniothelia;s__Kirschsteiniothelia_arasbaranica;sh__SH0109608.10FU	1.0
0dac8c406d541554abbf0f744821b95a	Unassigned	1.0
0dd904209cf5ded739537ca0cd9db02a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	1.0
0ddc039fdc7e104f88376c68286d08eb	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Physciaceae;g__Physcia	0.7
0ddf0da76b81bcfa85d81559c3035418	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae	0.6
0de7084facb76bbdffe70b11d9ea95ea	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor	0.8
0dfcf476e588f77973911bb30716b4d8	k__Fungi;p__Ascomycota;c__Dothideomycetes	1.0
0e06498ae68f4a8042252ec817ef8686	Unassigned	1.0
0e2a5993a68887b960dec1642973d37d	Unassigned	1.0
0e3a17b932f26873a149ed9fe19c2d46	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	1.0
0eb775b03b6f4a78f675d31f75195264	Unassigned	1.0
0ebe37fd2a280fce1d5bff58506508e1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Sarocladiaceae;g__Parasarocladium	1.0
0ee8756355c942f3bfa833e058a70087	Unassigned	1.0
0f0300dbc50010b851d0a7d8620a79fe	k__Fungi;p__Ascomycota;c__Lecanoromycetes	0.7
0f2bb98c7c37f40acdc6f117b83cd1db	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales	0.6
0f4da0c9cc290692110c30909e5ee4cd	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.7
0f6468246471b1f9449c90a7bf1dfe86	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	0.9
0f7b62cae9504bfa86ac8104fb51cf0c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales	0.8
0f9348355cda68761d435fba16be79ff	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Rachicladosporium	1.0
0fa1d2ff948aa8b1e4f06413956f7fe2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
0fa40396b1c5111fa659aa0340a47e1a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia	0.7
0fb4796b681cd1ffce41e89fa98592b1	Unassigned	1.0
0fc51d3eadd61f639c9965ae472474f7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
0fc76dc1f8dfd3170c80d35fc76c5bc6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_sp	0.6
0fcd58e30ab5036911771fef5ab669d6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora	0.9
0fd07bb65fb3f757ad3ddf2d8fc50e93	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Cytosporaceae;g__Cytospora	0.9
104142f258b6151020dbc5efa7eb1271	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis	0.6
10432225f6edfa931d141373e628adb3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Rachicladosporium	1.0
105a80b3289a256050cfee4e69e0c05a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Panellus	0.6
105b20178bb499639420ac8e7f33dcab	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_sp	0.556
105d41ec81b44774ccd33c6ff05cf64b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Peltaster	0.75
1072fc0a574bd04a3baf64260df2da8b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.909
1078e8109723b17d4a668471b5a4a0e8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	0.9
109872aa6a8f2723556b22492db98fc0	Unassigned	1.0
10a4c6a42634e939593866a3446306fd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.636
10a9c393011c962a371f2e532dccc34f	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	1.0
10b8d7a5d96f4934b07893686dc10d3c	Unassigned	1.0
1150d4a8d0f16c1a7981ceb1d630ba36	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0141317.10FU	1.0
1152346a5dd1584d20e8f113d103734e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	1.0
116a1721aa1e38b9b7235232d6ec96b2	Unassigned	1.0
11711f4bbac6ff061a9996dd81772cb2	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	1.0
118a469898fb43a22e5505607ad9e49d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
