Feature ID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
0f9348355cda68761d435fba16be79ff	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium			
0fa1d2ff948aa8b1e4f06413956f7fe2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
0fa40396b1c5111fa659aa0340a47e1a	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia			
0fb4796b681cd1ffce41e89fa98592b1	Unassigned								
0fc51d3eadd61f639c9965ae472474f7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
0fc76dc1f8dfd3170c80d35fc76c5bc6	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	Sistotrema_sp		
0fcd58e30ab5036911771fef5ab669d6	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora			
0fd07bb65fb3f757ad3ddf2d8fc50e93	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora			
104142f258b6151020dbc5efa7eb1271	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis				
10432225f6edfa931d141373e628adb3	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium			
105a80b3289a256050cfee4e69e0c05a	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Panellus			
105b20178bb499639420ac8e7f33dcab	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_sp		
105d41ec81b44774ccd33c6ff05cf64b	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Peltaster			
1072fc0a574bd04a3baf64260df2da8b	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum			
1078e8109723b17d4a668471b5a4a0e8	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae				
109872aa6a8f2723556b22492db98fc0	Unassigned								
10a4c6a42634e939593866a3446306fd	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma			
10a9c393011c962a371f2e532dccc34f	Fungi	Ascomycota	Leotiomycetes	Helotiales					
10b8d7a5d96f4934b07893686dc10d3c	Unassigned								
1150d4a8d0f16c1a7981ceb1d630ba36	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp	SH0141317.10FU	
1152346a5dd1584d20e8f113d103734e	Fungi	Ascomycota	Dothideomycetes	Pleosporales					
116a1721aa1e38b9b7235232d6ec96b2	Unassigned								
11711f4bbac6ff061a9996dd81772cb2	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium			
118a469898fb43a22e5505607ad9e49d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
11a1d90b8afdfc2b83f9f08edaa8d49d	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae				
11a6b51d394ef1a0e69bd5a3a8aeae96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
11ca3f53cd36a65f1383b5a1ff9c9710	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			
11dc82144059d6fa4b58e51a5010e750	Fungi	Ascomycota	Lecanoromycetes	Ostropales					
