Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
15fad483e7ebadb216abf02d14305ddd	Fungi							
16d9b42e67193b281d9614328e5494ee	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae			
177c723dd7faf4ca35fd36a81e42ebb6	Viridiplantae	Chlorophyta						
179e0166bab4863eacc8caf1e37523a0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp	
17efef5558074e8469e5238b770fc960	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria		
1856891f71e97164ae52f9fe4045bbf6	Fungi	Ascomycota	Sordariomycetes	Xylariales				
18599adea4e9df9279eeca2fb7ab0d98	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_sp	
188229010a20057eca818f6ccfa3bdeb	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces		
1916f10ed5862dd4047dc3d904bae4ad	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria		
1941edbd40dbc3edc31014233578561d	Fungi	Basiddiomycota	Agaricomycetes	Polyporales	Meripilaceae			
196aba2566f2812dac9c911fea1126bf	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium		
19d8c5702457a457b5d3545e7ef09199	Fungi	Ascomycota						
19f9682b7181515a5f0cdb3c1ab011f5	Fungi	Basiddiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium		
19fd9299c5ac51d027d58b4ecf3a5e4b	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp	
1aa0ab5b954921b9db5e9d1139fd1dfc	Viridiplantae	Anthophyta	Eudicotyledonae	Vitales	Vitaceae	Vitis		
1b1c3683e082843e9c381316ad481bb3	Unassigned							
1b4e31d9e4b524056b49bf636eb680e5	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema		
1b5275fffe86b5f1df2587c9c0187684	Fungi	Basiddiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus_sp	
1be8be58f1d0796f499c768f84565af2	Fungi	Chytridiomycota	Lobulomycetes	Lobulomycetales	Lobulomycetales_fam_Incertae_sedis	Lobulomycetales_gen_Incertae_sedis	Lobulomycetales_sp	
1c47df4cb01bccea7d7916a01f6b5de7	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma		
1c4b7bf057e20246705f5920b8fbd8d1	Fungi	Basiddiomycota	Exobasidiomycetes	Microstromatales	Microstromatales_fam_Incertae_sedis	Pseudomicrostroma		
1c6e78384aeaa9e94a5c9698b4f9dfbd	Fungi	Ascomycota	Sordariomycetes	Xylariales				
1c7bdc5438af3b5c1e4414dded05ff6c	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Lobosphaera	Lobosphaera_sp	
1ca1b2c86b2bdc7205d80167b10b5b77	Unassigned							
1cb3c9da4f1567f7a8f71d526f6a5d58	Fungi	Basiddiomycota	Tremellomycetes					
1cdea152feae3526fa735548c10ec0c7	Fungi	Ascomycota	Sordariomycetes	Xylariales	Castanediellaceae	Castanediella	Castanediella_sp	
